case_id,n,a_previous,a_current,increment,increment_class,is_prime_increment
C12,2,7,8,1,trivial_one,False
C12,3,8,9,1,trivial_one,False
C12,4,9,10,1,trivial_one,False
C12,5,10,15,5,nontrivial_prime_jump,True
C12,6,15,18,3,nontrivial_prime_jump,True
C12,7,18,19,1,trivial_one,False
C12,8,19,20,1,trivial_one,False
C12,9,20,21,1,trivial_one,False
C12,10,21,22,1,trivial_one,False
C12,11,22,33,11,nontrivial_prime_jump,True
C12,12,33,36,3,nontrivial_prime_jump,True
C12,13,36,37,1,trivial_one,False
C12,14,37,38,1,trivial_one,False
C12,15,38,39,1,trivial_one,False
C12,16,39,40,1,trivial_one,False
C12,17,40,41,1,trivial_one,False
C12,18,41,42,1,trivial_one,False
C12,19,42,43,1,trivial_one,False
C12,20,43,44,1,trivial_one,False
C12,21,44,45,1,trivial_one,False
C12,22,45,46,1,trivial_one,False
C12,23,46,69,23,nontrivial_prime_jump,True
C12,24,69,72,3,nontrivial_prime_jump,True
C12,25,72,73,1,trivial_one,False
C12,26,73,74,1,trivial_one,False
C12,27,74,75,1,trivial_one,False
C12,28,75,76,1,trivial_one,False
C12,29,76,77,1,trivial_one,False
C12,30,77,78,1,trivial_one,False
C12,31,78,79,1,trivial_one,False
C12,32,79,80,1,trivial_one,False
C12,33,80,81,1,trivial_one,False
C12,34,81,82,1,trivial_one,False
C12,35,82,83,1,trivial_one,False
C12,36,83,84,1,trivial_one,False
C12,37,84,85,1,trivial_one,False
C12,38,85,86,1,trivial_one,False
C12,39,86,87,1,trivial_one,False
C12,40,87,88,1,trivial_one,False
C12,41,88,89,1,trivial_one,False
C12,42,89,90,1,trivial_one,False
C12,43,90,91,1,trivial_one,False
C12,44,91,92,1,trivial_one,False
C12,45,92,93,1,trivial_one,False
C12,46,93,94,1,trivial_one,False
C12,47,94,141,47,nontrivial_prime_jump,True
C12,48,141,144,3,nontrivial_prime_jump,True
C12,49,144,145,1,trivial_one,False
C12,50,145,150,5,nontrivial_prime_jump,True
